Access Control,Alcohol Notalcohol,Area Type1,A Crash,A People,Basetypedesc,Begin Node Dsc,Belted Unbelted,Bikeage,Bikegen,Bikeinjurytype,Bikevehiclenumber,Bike Nonbike,BMP,B Crash,B People,Carspeedlimit,Collision Type,Comm Cargo Body Type Cd,Comm Vehicle Body Type Cd,Cotedrouteid,Coted Mp,Count App,CRASH_DT (copy),Crash Dt,Crash Event Type Dsc,Crash Military Tm,Crash Severity,Crash Year,Curbgutterdesc,C Crash,C People,Juris Name Used,Area Type Used,First Harmful Event of Entire Crash,MAINLINE,Time Slicing Used,Phy_Juris_Nm,Offset-Ft,Intersection Analysis,Clear,Calculation_9640323132123359,Day Of Week,Deer Nodeer,Direction Of Travel Cd,Distracted Notdistracted,VSP,TOTAL CRASH,Document Nbr,Driverage,Drivergen,Driverinjurytype,Drivervehiclenumber,Driver Action Type Cd,Driver Airbag Deployment,Driver Alcohol Test Type Cd,Driver Condition Type Cd,Driver Distraction Type Cd,Driver Drinking Type Cd,Driver Drug Use Cd,Driver Ejected From Vehicle,Driver Ems Transport Ind,Driver Fled Scene Ind,Driver Safety Equip Used,Driver Vis Obscured Type Cd,Drowsy Notdrowsy,Drug Nodrug,EMP,End Node,End Node Dsc,End Offset,Facility,FAC,First Crash Event Cd,First Harmful Event,Fourth Crash Event Cd,Functionalclass,FUN,Govcondesc,Gr Nogr,Hitrun Not Hitrun,Initial Veh Impact Area Cd,Injury Crashes,Intersection Type,Int Doc,Jurtype,K_CRASH,K People,LAT (copy),LAT,Leftshoulderwidth,Length,Lgtruck Nonlgtruck,Light Condition,Located Unlocated,LON (copy),LON,MAINLINE (group),Mainline Yn,Medianleftshoulderwidth,Medianrightshoulderwidth,Mediantypedesc,Medianwidthmax,Medianwidthmin,Median Type,Most Harmful Crash Event Cd,Motor Nonmotor,Node,Node Info,Node Totaadt2011,Node Totaadt2012,Node Totaadt2013,Node Totaadt2014,Node Totaadt2015,Numberoflane,Number of Records,Offset,Ownership,Passage,Passgen,Passinjurytype,Passvehiclenumber,Pass Airbag Deployment,Pass Ejected From Vehicle,Pass Ems Transport Ind,Pass Safety Equip Used,Pavementconditionvalue,Pavementroughnessvalue,Pavementwidth,Pdo Crash,Total People Killed & Injured,Pedage,Pedestrians Injured,Pedestrians Killed,Pedgen,Pedinjurytype,Pednumber,Ped Action,Ped Al Test,Ped Cond,Ped Drink,Ped Drug,Ped Nonped,Ped Rflct,Persons Injured,Persons Killed,Physical Juris Nm,PJR,VSP_Used,Rd Type,Relation To Roadway,Rightshoulderwidth,RNS_MP (0.25 mi bin),Rns Mp,Roadway Alignment,Roadway Defect,Roadway Description,Roadway Surface Cond,Roadway Surface Type,Route Or Street Nm,Rte Category Cd,Rte Cat,Rte Nm,Ruralurbandesc,School Zone,Second Crash Event Cd,Segtotaadt2011,Segtotaadt2012,Segtotaadt2013,Segtotaadt2014,Segtotaadt2015,Senior Notsenior,Sidewalkdesc,Speed Before,Speed Max Safe,Speed Notspeed,Speed Posted,Start Node,Start Offset,Summons Issued Cd,Surfacedesc,Third Crash Event Cd,Time Slicing,Total Crashes including Property Damage Only,Total Crash,Traffic Control Type,Trfc Ctrl Status Type,Truckcommr,Vehiclenumber,Vehicle Body Type Cd,Vehicle Make Nm,Vehicle Maneuver Type Cd,Vehicle Model Nm,Vehicle Year Nbr,District,District_Used ,Weather Condition,Work Zone Location,Work Zone Related,Work Zone Type,Young Notyoung
No Access Control,Not ALCIHOL,Urban,0,0,"N/A, Unknown, or Unstabilized",ALMA DRIVE(R)/,Not UNBELTED,58,Male,B,2,BIKE,0.32,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",12208621,0.32,4,7/20/2013,7/20/2013,22. Bicycle,1425,B.Visiible Injury,2013,Left and Right sides,0,0,Norfolk,Urban,22. Bicycle,MAIN,12PM TO 3PM,122.Norfolk,"1,690",Intersection,Reset Filters,VDOT_OTHER,Saturday,Not DEER,"South,South",DISTRACTED,5,1,133290048,33,0,"PDO,B","1,2","11. Did Not Have Right-of-Way,1. No Improper Action","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","7. Eyes Not on Road,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","No,No","No,No","3. Lap and Shoulder Belt,8. No Restraint Used","1. Not Obscured,1. Not Obscured",,,0,485593,CARRENE DRIVE(L)/,0,0,"0.Two-way, non-divided","22,20",1. On Roadway,"0,0",I,I.Urban Collector,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"12,3",1,4. Four Approaches,133290048,C,0,0,36.920348,36.920348,0,0.14,Not LRTRUCK,2. Daylight,LOCATED,-76.24835,-76.24835,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"22,20",Not MOTORCYCLE,485568,485568. 12208620      12208620      12208621      12208621,4779,4694,4738,4565,3051,2,1,0.32,SEC_URBAN,,,,,,,,,0,0,30,0,1,,0,0,,,,,,,,,Not PED,,1,0,Norfolk,122,5,NOT-RD,9. Within Intersection,0,0.25,0.32,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",8100 BLK OLD OCEAN VIEW AVE,URB,UR,R-VA122UR08621NB,"Urbanized (Population 200,000 and over)",3. No,"0,0",3362,3496,3528,3400,2000,Not SENIOR,Left and Right sides,"10,5","25,25",Not SPEED,"25,25",485591,0,"1. Yes,2. No",0,"0,0",12PM TO 3PM,1,1,4. Stop Sign,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","2. Truck - Pick-up/Passenger Truck,9. Bicycle","Ford,GMC","1. Going Straight Ahead,1. Going Straight Ahead","F-150,DENALI 21 SPEED",19962012,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,1,1,"N/A, Unknown, or Unstabilized",DUKE STREET(B)/,Not UNBELTED,9,0,A,1,BIKE,0.56,0,0,,2. Angle,"Not Provided,16. Not Applicable/No Cargo Body","Not Provided,8. Truck Tractor (Bobtail)",12408558,0.561,4,7/23/2013,7/23/2013,22. Bicycle,1644,A.Ambulatory Injury,2013,Left and Right sides,0,0,Portsmouth,Urban,22. Bicycle,MAIN,3PM TO 6PM,124.Portsmouth,"1,114",Intersection,Reset Filters,VDOT_OTHER,Tuesday,Not DEER,"Not Provided,North",,5,1,132395201,46,Male,"A,PDO","1,2","Not Applicable,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","3. Totally Ejected,1. Not Ejected","Yes,No","No,No","9. Not Applicable,3. Lap and Shoulder Belt","Not Applicable,1. Not Obscured",,,1,484366,RACE STREET(B)/,0,0,"0.Two-way, non-divided","0,22",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"0,11",1,4. Four Approaches,132395201,C,0,0,36.827476,36.827476,0,0.1,Not LRTRUCK,2. Daylight,LOCATED,-76.312522,-76.312522,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"0,22",Not MOTORCYCLE,484362,484362. 12408558      12408558      12408760      12408760,10735,10522,9122,8797,8976,2,1,0.211,SEC_URBAN,,,,,,,,,0,0,30,0,1,,0,0,,,,,,,,,Not PED,,1,0,Portsmouth,124,5,NOT-RD,1. Main-Line Roadway,0,0.5,0.56,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",1425 ELM AVE,URB,UR,R-VA124UR08558NB,"Urbanized (Population 200,000 and over)",3. No,"0,0",8053,7893,7473,7207,7353,Not SENIOR,Left and Right sides,"5,25","25,25",Not SPEED,"25,25",484365,0,"2. No,2. No",0,"0,0",3PM TO 6PM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,25. Truck - Truck Tractor (Bobtail-No Trailer)",INTR,"1. Going Straight Ahead,1. Going Straight Ahead",9200,1999,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),WESTOVER AVE(L)/,Not UNBELTED,39,0,B,1,BIKE,0.54,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13707075,0.542,4,7/23/2013,7/23/2013,39. Fell/Jumped From Vehicle,1217,B.Visiible Injury,2013,Left and Right sides,0,0,Williamsburg,Urban,39. Fell/Jumped From Vehicle,MAIN,12PM TO 3PM,137.Williamsburg,908,Intersection,Reset Filters,VDOT_OTHER,Tuesday,Not DEER,"West,Not Provided",,5,1,133380003,59,Female,"B,PDO","1,2","11. Did Not Have Right-of-Way,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","Not Applicable,Not Applicable","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","2. Partially Ejected,1. Not Ejected","Yes,No","No,No","9. Not Applicable,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,1,398837,SHIRLEY AVE(L)/,0,0,"0.Two-way, non-divided","20,22",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"0,12",1,2. Two Approaches,133380003,C,0,0,37.280283,37.280283,0,0.05,Not LRTRUCK,2. Daylight,LOCATED,-76.718171,-76.718171,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"39,22",Not MOTORCYCLE,398813,398813. 13707075      13707075      13707077      13707083,27434,26827,25596,24685,25185,2,1,0.172,SEC_URBAN,,,,,,,,,0,0,40,0,1,,0,0,,,,,,,,,Not PED,,1,0,Williamsburg,137,5,NOT-RD,9. Within Intersection,0,0.5,0.54,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",richmond rd,URB,UR,R-VA137UR07075EB,"Urbanized (Population 200,000 and over)",3. No,"39,0",12956,12669,10055,9697,9893,Not SENIOR,Left and Right sides,"10,5","25,25",Not SPEED,"25,25",398836,0,"1. Yes,2. No",0,"0,0",12PM TO 3PM,1,1,4. Stop Sign,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,1. Passenger car",toyo,"1. Going Straight Ahead,2. Making Right Turn",avalon,2000,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),US-00013(B)/134-00008(R)/,Not UNBELTED,54,Male,B,1,BIKE,14.15,1,1,,4. Sideswipe - Same Direction,"Not Provided,Not Provided","Not Provided,Not Provided",SR00166,14.169,4,11/15/2014,11/15/2014,20. Motor Vehicle In Transport,2030,B.Visiible Injury,2014,Left and Right sides,0,1,Virginia Beach,Urban,20. Motor Vehicle In Transport,MAIN,6PM TO 9PM,134.Virginia Beach,100,Intersection,Reset Filters,VDOT_OTHER,Saturday,Not DEER,"South,South",DISTRACTED,5,1,143205135,62,Male,"B,C","1,2","37. Other,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","14. No Driver Distraction,7. Eyes Not on Road","1. Had Not Been Drinking,1. Had Not Been Drinking","3. Unknown,3. Unknown","1. Not Ejected,1. Not Ejected","No,No","No,No","6. Other,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,14,541014,US-00013(B)/134-00008(R)/,0.16,1,"1.Divided, no control of access","20,20",1. On Roadway,"0,4",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"9,1",1,1. Not at Intersection,143205135,C,0,0,36.88799,36.88799,0,0.16,Not LRTRUCK,5. Darkness - Road Not Lighted,LOCATED,-76.1801,-76.1801,MAINLINE,MAIN,0,0,Curbed Grass,34,8,Divided Roadway,"20,20",Not MOTORCYCLE,541014,541014.  SR00166       US00013       US00013      13400008,73478,73114,73090,72209,68345,6,1,0.019,PRI_URBAN,,,,,,,,,0,148,78,0,2,,0,0,,,,,,,,,Not PED,,2,0,Virginia Beach,134,5,NOT-RD,8. Non-Intersection,0,14,14.17,1. Straight - Level,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,"2. Blacktop, Asphalt, Bituminous",1300 DIAMOND SPRINGS RD,STPRI,SR,R-VA   SR00166WB,"Urbanized (Population 200,000 and over)",3. No,"0,4",27966,26976,27225,26237,27090,Not SENIOR,Left and Right sides,"10,40","45,45",Not SPEED,"45,45",541014,0,"1. Yes,Not Provided",0,"0,4",6PM TO 9PM,1,1,6. Traffic Lanes Marked,1. Yes - Working,Truck Access System,"1,2","9. Bicycle,4. Truck - Single Unit Truck (2-Axles)","HUFFY,FORD","1. Going Straight Ahead,1. Going Straight Ahead","BICYCLE,F150",20122014,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,"N/A, Unknown, or Unstabilized",SR-00312(L)/MUSEUM DR,Not UNBELTED,24,Female,B,2,BIKE,260.65,1,1,,13. Bicyclist,"Not Provided,Not Provided","Not Provided,Not Provided",US00060,260.664,3,11/17/2014,11/17/2014,22. Bicycle,1423,B.Visiible Injury,2014,Left and Right sides,0,0,Newport News,Urban,22. Bicycle,MAIN,12PM TO 3PM,121.Newport News,285,Intersection,Reset Filters,VDOT_OTHER,Monday,Not DEER,"East,North",,5,1,143630045,38,Female,"PDO,B","1,2","1. No Improper Action,1. No Improper Action","2. Not Deployed,Not Provided","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,Not Provided","No,Yes","No,No","3. Lap and Shoulder Belt,8. No Restraint Used","1. Not Obscured,Not Applicable",,,262,646043,SR-00312(L)/MUSEUM DR,1.05,1,"1.Divided, no control of access","22,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"1,12",1,2. Two Approaches,143630045,C,0,0,37.06097,37.06097,0,1.01,Not LRTRUCK,2. Daylight,LOCATED,-76.4863,-76.4863,MAINLINE,MAIN,0,0,Curbed Grass,6,6,Divided Roadway,"22,20",Not MOTORCYCLE,646043,646043.  SR00312       US00060       US00060,44740,43750,51200,49377,50377,6,1,0.054,PRI_URBAN,,,,,,,,,0,175,66,0,1,,0,0,,,,,,,,,Not PED,,1,0,Newport News,121,5,NOT-RD,"15. Other Crossing (Crossing for Bikes, School, etc.)",0,260.5,260.61,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,3. Brick or Block,WARWICK BLVD,USPRI,US,R-VA   US00060EB,"Urbanized (Population 200,000 and over)",3. No,"0,0",25339,24778,27514,26534,27072,Not SENIOR,Left side,"15,5","45,45",Not SPEED,"45,45",646043,0.04,"2. No,2. No",0,"0,0",12PM TO 3PM,1,1,14. Ped Crosswalk,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle",TOYOTA,"5. Slowing or Stopping,1. Going Straight Ahead",CAMRY,2011,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),OLD DEAD END,Not UNBELTED,21,Female,B,2,BIKE,2,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13408717,2.016,4,7/24/2013,7/24/2013,22. Bicycle,1512,B.Visiible Injury,2013,Left and Right sides,0,0,Virginia Beach,Urban,22. Bicycle,MAIN,3PM TO 6PM,134.Virginia Beach,496,Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"West,South",,5,1,132065123,86,0,"PDO,B","1,2","1. No Improper Action,11. Did Not Have Right-of-Way","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","14. No Driver Distraction,14. No Driver Distraction","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,6. Other","1. Not Obscured,1. Not Obscured",,,2,541318,134-08590(B)/LYNHAVEN PKWY,0,1,"1.Divided, no control of access","22,20",4. Roadside,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"12,9",1,1. Not at Intersection,132065123,C,0,0,36.785376,36.785376,0,0.11,Not LRTRUCK,2. Daylight,LOCATED,-76.162124,-76.162124,MAINLINE,MAIN,0,0,Curbed Grass,16,4,Divided Roadway,"22,20",Not MOTORCYCLE,541318,541318. 13408590      13408590      13408717      13408717,34382,32723,33025,31827,32703,4,1,0.094,SEC_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,1. Main-Line Roadway,0,2,2.02,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,1. Concrete,5020 LYNNHAVEN PARKWAY,URB,UR,R-VA134UR08717WB,"Urbanized (Population 200,000 and over)",3. No,"0,0",10030,10183,10277,9904,10104,SENIOR,Left and Right sides,5,,Not SPEED,,541923,0,"2. No,2. No",0,"0,0",3PM TO 6PM,1,1,1. No Traffic Control,6. No Traffic Control Device Present,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle","HOND,DIAMONDBACK","2. Making Right Turn,1. Going Straight Ahead","ACCORD,EDGEWOOD",20062012,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,"N/A, Unknown, or Unstabilized",IS-00064-W276C(L)/FROM RT 64 WEST,Not UNBELTED,31,Male,B,2,BIKE,37.38,1,1,,4. Sideswipe - Same Direction,"Not Provided,Not Provided","Not Provided,Not Provided",SR00165,37.38,3,7/25/2013,7/25/2013,22. Bicycle,500,B.Visiible Injury,2013,Left and Right sides,0,0,Norfolk,Urban,22. Bicycle,MAIN,3AM TO 6AM,122.Norfolk,0,Intersection,Reset Filters,VDOT_OTHER,Thursday,Not DEER,"North,Not Provided",,5,1,133380086,56,Male,"PDO,B","1,2","1. No Improper Action,40. Fail to Maintain Proper Control","2. Not Deployed,Not Provided","Not Applicable,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","Not Applicable,6. Unknown","Not Applicable,Not Applicable","1. Not Ejected,Not Provided","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","Not Applicable,1. Not Obscured",,,37,483310,IS-00064-W276C(L)/FROM RT 64 WEST,0.04,1,"1.Divided, no control of access","0,0",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"9,0",1,3. Three Approaches,133380086,C,0,0,36.916979,36.916979,0,0.04,Not LRTRUCK,4. Darkness - Road Lighted,LOCATED,-76.266514,-76.266514,MAINLINE,MAIN,0,0,0,54,54,Divided Roadway,"22,20",Not MOTORCYCLE,483310,483310.  IS00064W276C  SR00165       SR00165,26347,32966,32816,24121,25088,6,1,0,PRI_URBAN,,,,,,,,,0,200,78,0,1,,0,0,,,,,,,,,Not PED,,1,0,Norfolk,122,5,NOT-RD,1. Main-Line Roadway,0,37.25,37.38,1. Straight - Level,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",2. Wet,1. Concrete,200 BLK E LITTLE CREEK RD,STPRI,SR,R-VA   SR00165SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",23297,21451,21301,21368,21814,Not SENIOR,Left and Right sides,"15,10","20,35",Not SPEED,"20,35",483310,0,"2. No,2. No",0,"0,0",3AM TO 6AM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","2. Truck - Pick-up/Passenger Truck,9. Bicycle",CHEVY,"1. Going Straight Ahead,Not Applicable",SILVERADO,2013,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),GRAVENHURST RD(R)/,Not UNBELTED,54,Male,B,2,BIKE,2.51,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13408717,2.635,4,7/25/2013,7/25/2013,22. Bicycle,1214,B.Visiible Injury,2013,Left and Right sides,0,0,Virginia Beach,Urban,22. Bicycle,MAIN,12PM TO 3PM,134.Virginia Beach,"2,772",Intersection,Reset Filters,VDOT_OTHER,Thursday,Not DEER,"East,North",DISTRACTED,5,1,132075047,22,0,"PDO,B","1,2","11. Did Not Have Right-of-Way,1. No Improper Action","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","7. Eyes Not on Road,14. No Driver Distraction","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","NotProvided,No","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,3,541926,PLEASANT VALLEY RD(B)/,0,1,"1.Divided, no control of access","22,20",2. Shoulder,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"12,8",1,1. Not at Intersection,132075047,C,0,0,36.786663,36.786663,0,0.17,Not LRTRUCK,2. Daylight,LOCATED,-76.150496,-76.150496,MAINLINE,MAIN,0,0,Curbed Grass,16,4,Divided Roadway,"22,20",Not MOTORCYCLE,541318,541318. 13408590      13408590      13408717      13408717,34382,32723,33025,31827,32703,4,1,0.525,SEC_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,"13. Driveway, Alley-Access - Related",0,2.5,2.63,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",2400 LYNNHAVEN PKWY,URB,UR,R-VA134UR08717WB,"Urbanized (Population 200,000 and over)",3. No,"0,39",21241,20529,20719,19967,19828,Not SENIOR,Left and Right sides,"5,10","45,45",Not SPEED,"45,45",541925,0,"1. Yes,2. No",0,"0,0",12PM TO 3PM,1,1,6. Traffic Lanes Marked,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","2. Truck - Pick-up/Passenger Truck,9. Bicycle","Toyota,HAVOC","16. Entering Street From Parking Lot,1. Going Straight Ahead","Tacoma,-",20052010,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
,Not ALCIHOL,Urban,1,1,,,Not UNBELTED,6,Male,A,2,BIKE,,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,7/26/2013,7/26/2013,22. Bicycle,1545,A.Ambulatory Injury,2013,,0,0,Hampton,Urban,22. Bicycle,MAIN,3PM TO 6PM,114.Hampton,,Not Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"North,South",,5,1,133380119,,0,"PDO,A","1,2","1. No Improper Action,37. Other","3. Unavailable/Not Applicable,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","No,Yes","No,No","9. Not Applicable,8. No Restraint Used","1. Not Obscured,1. Not Obscured",,,,,,,,,"22,20",7. In Parking Lane or Zone,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"12,12",1,3. Three Approaches,,C,0,0,37.088719,37.088719,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.396511,-76.396511,MAINLINE,,,,,,,,"22,20",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Hampton,114,5,NOT-RD,10. Intersection Related - Within 150 Feet,,,,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",TRIPLE CROWN CT,UNKWN,SC,U-VA114SC99999UK,,3. No,"0,0",,,,,,SENIOR,,"10,5","10,0",Not SPEED,"10,10",,,"2. No,2. No",,"0,0",3PM TO 6PM,1,1,4. Stop Sign,1. Yes - Working,,"1,2","16. Other (Scooter, Go-cart, Hearse, Bookmobile, Golf Cart, etc.),9. Bicycle",,"2. Making Right Turn,8. Stopped in Traffic Lane",GOLF CART,,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,1,1,Bituminous Concrete (Black Base),114-07025(B)/ABERDEEN RD,Not UNBELTED,52,Male,A,1,BIKE,61.82,0,0,,13. Bicyclist,"Not Provided,Not Provided","Not Provided,Not Provided",US00258,61.948,4,11/19/2014,11/19/2014,20. Motor Vehicle In Transport,2244,A.Ambulatory Injury,2014,Left and Right sides,0,0,Hampton,Urban,20. Motor Vehicle In Transport,MAIN,9PM TO 12AM,114.Hampton,676,Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"West,West",,5,1,143440097,20,Male,"A,PDO","1,2","42. Improper or Unsafe Lane Change,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","3. Totally Ejected,1. Not Ejected","Yes,No","No,No","9. Not Applicable,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,62,744800,ENT TO SHOP CENTER(L)/,0,1,"1.Divided, no control of access","20,20",1. On Roadway,"0,0",E,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"12,1",1,1. Not at Intersection,143440097,C,0,0,37.03793,37.03793,0,0.16,Not LRTRUCK,4. Darkness - Road Lighted,LOCATED,-76.40674,-76.40674,MAINLINE,MAIN,0,0,Curbed Grass,16,4,Divided Roadway,"20,22",Not MOTORCYCLE,253135,253135.  US00258       US00258      11407025      11407025,69743,65278,62501,62639,64191,8,1,0.128,PRI_URBAN,,,,,,,,,0,150,102,0,1,,0,0,,,,,,,,,Not PED,,1,0,Hampton,114,5,NOT-RD,8. Non-Intersection,0,61.75,61.95,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",2300 E MERCURY BLVD,USPRI,US,R-VA   US00258WB,"Urbanized (Population 200,000 and over)",3. No,"0,22",57250,53037,53852,54440,55842,Not SENIOR,Left and Right sides,"5,30","45,45",Not SPEED,"45,45",253135,0,"1. Yes,2. No",0,"0,0",9PM TO 12AM,1,1,6. Traffic Lanes Marked,1. Yes - Working,Truck Access System,"1,2","9. Bicycle,1. Passenger car","ROADMASTER,DODGE","14. Changing Lanes,1. Going Straight Ahead","R4417WMST,CHARGER",2010,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
